Timestamp (Unix Time)	Human readable date	Pressure (mBar)	Place Code
1629322858682	Aug 18, 2021 5:40:58 PM	984.9071	
1629323811719	Aug 18, 2021 5:56:51 PM	984.69104	
1629324775671	Aug 18, 2021 6:12:55 PM	984.6353	
1629325696238	Aug 18, 2021 6:28:16 PM	984.74603	
1629326631695	Aug 18, 2021 6:43:51 PM	984.8217	
1629327551463	Aug 18, 2021 6:59:11 PM	984.7333	
1629328451770	Aug 18, 2021 7:14:11 PM	984.8283	
1629329364860	Aug 18, 2021 7:29:24 PM	985.01447	
1629330282851	Aug 18, 2021 7:44:42 PM	985.3929	
1629331209400	Aug 18, 2021 8:00:09 PM	985.50977	
1629332347380	Aug 18, 2021 8:19:07 PM	985.6116	
1629333291157	Aug 18, 2021 8:34:51 PM	985.5835	
1629334325713	Aug 18, 2021 8:52:05 PM	985.5803	
1629335326704	Aug 18, 2021 9:08:46 PM	985.5967	
1629336346635	Aug 18, 2021 9:25:46 PM	985.6849	
1629337258660	Aug 18, 2021 9:40:58 PM	985.8098	
1629338194369	Aug 18, 2021 9:56:34 PM	985.9951	
1629339110624	Aug 18, 2021 10:11:50 PM	986.1896	
1629340168915	Aug 18, 2021 10:29:28 PM	985.87634	
1629341069575	Aug 18, 2021 10:44:29 PM	986.0578	
1629342002640	Aug 18, 2021 11:00:02 PM	986.1942	
1629342938557	Aug 18, 2021 11:15:38 PM	986.3151	
1629344100555	Aug 18, 2021 11:35:00 PM	986.17914	
1629345092624	Aug 18, 2021 11:51:32 PM	986.21954	
1629346007495	Aug 19, 2021 12:06:47 AM	986.1675	
1629347099527	Aug 19, 2021 12:24:59 AM	986.1086	
1629348209520	Aug 19, 2021 12:43:29 AM	985.9545	
1629349519671	Aug 19, 2021 1:05:19 AM	985.8774	
1629350592434	Aug 19, 2021 1:23:12 AM	985.8379	
1629351521467	Aug 19, 2021 1:38:41 AM	985.69617	
1629353091441	Aug 19, 2021 2:04:51 AM	985.61285	
1629354020552	Aug 19, 2021 2:20:20 AM	985.4307	
1629355498432	Aug 19, 2021 2:44:58 AM	985.364	
1629356687397	Aug 19, 2021 3:04:47 AM	985.3551	
1629357589239	Aug 19, 2021 3:19:49 AM	985.3965	
1629359052232	Aug 19, 2021 3:44:12 AM	985.3534	
1629360329126	Aug 19, 2021 4:05:29 AM	985.3264	
1629361498376	Aug 19, 2021 4:24:58 AM	985.2654	
1629362426790	Aug 19, 2021 4:40:26 AM	985.30493	
1629363903082	Aug 19, 2021 5:05:03 AM	985.1562	
1629365438548	Aug 19, 2021 5:30:38 AM	984.94025	
1629366340326	Aug 19, 2021 5:45:40 AM	985.0574	
1629367647613	Aug 19, 2021 6:07:27 AM	985.14557	
1629368549344	Aug 19, 2021 6:22:29 AM	985.1379	
1629369449641	Aug 19, 2021 6:37:29 AM	985.03375	
1629370396752	Aug 19, 2021 6:53:16 AM	985.0202	
1629371487281	Aug 19, 2021 7:11:27 AM	985.0363	
1629372400187	Aug 19, 2021 7:26:40 AM	985.1719	
1629373300626	Aug 19, 2021 7:41:40 AM	985.4858	
1629374205849	Aug 19, 2021 7:56:45 AM	985.53467	
1629375150456	Aug 19, 2021 8:12:30 AM	985.54675	
1629376162468	Aug 19, 2021 8:29:22 AM	985.73505	
1629377088160	Aug 19, 2021 8:44:48 AM	984.1961	
1629378064787	Aug 19, 2021 9:01:04 AM	983.1735	
1629379000103	Aug 19, 2021 9:16:40 AM	983.09576	
1629380149130	Aug 19, 2021 9:35:49 AM	982.92236	
1629381076087	Aug 19, 2021 9:51:16 AM	982.9279	
1629381976353	Aug 19, 2021 10:06:16 AM	984.29877	
1629382885875	Aug 19, 2021 10:21:25 AM	983.565	
1629383789242	Aug 19, 2021 10:36:29 AM	985.53784	
1629384736149	Aug 19, 2021 10:52:16 AM	985.39526	
1629385686877	Aug 19, 2021 11:08:06 AM	985.46387	
1629386719076	Aug 19, 2021 11:25:19 AM	985.77814	
1629387640224	Aug 19, 2021 11:40:40 AM	985.70166	
1629388574593	Aug 19, 2021 11:56:14 AM	985.5527	
1629389500042	Aug 19, 2021 12:11:40 PM	985.5591	
1629390415160	Aug 19, 2021 12:26:55 PM	985.4781	
1629391316332	Aug 19, 2021 12:41:56 PM	985.43646	
1629392245242	Aug 19, 2021 12:57:25 PM	985.48425	
1629393151335	Aug 19, 2021 1:12:31 PM	985.33954	
1629394061418	Aug 19, 2021 1:27:41 PM	985.1481	
1629395210606	Aug 19, 2021 1:46:50 PM	985.0727	
1629396110896	Aug 19, 2021 2:01:50 PM	985.04865	
1629397499051	Aug 19, 2021 2:24:59 PM	985.0333	
1629398776135	Aug 19, 2021 2:46:16 PM	984.85803	
1629399805168	Aug 19, 2021 3:03:25 PM	984.6168	
1629401164998	Aug 19, 2021 3:26:04 PM	984.2875	
1629402363038	Aug 19, 2021 3:46:03 PM	984.1795	
1629403299032	Aug 19, 2021 4:01:39 PM	984.02014	
1629404199341	Aug 19, 2021 4:16:39 PM	983.9381	
1629405745513	Aug 19, 2021 4:42:25 PM	983.45447	
1629406878961	Aug 19, 2021 5:01:18 PM	983.23517	
1629408221932	Aug 19, 2021 5:23:41 PM	983.2237	
1629409201948	Aug 19, 2021 5:40:01 PM	983.30316	
1629410146659	Aug 19, 2021 5:55:46 PM	983.29443	
1629411175387	Aug 19, 2021 6:12:55 PM	983.21246	
1629412135436	Aug 19, 2021 6:28:55 PM	982.8792	
1629413074937	Aug 19, 2021 6:44:34 PM	982.66034	
1629414000098	Aug 19, 2021 7:00:00 PM	982.8554	
1629414948727	Aug 19, 2021 7:15:48 PM	981.9245	
1629415850930	Aug 19, 2021 7:30:50 PM	980.2697	
1629416838791	Aug 19, 2021 7:47:18 PM	980.2045	
1629417439271	Aug 19, 2021 7:57:19 PM	980.026	
1629417552138	Aug 19, 2021 7:59:12 PM	980.0549	
1629418490487	Aug 19, 2021 8:14:50 PM	980.2145	
1629419410902	Aug 19, 2021 8:30:10 PM	980.1892	
1629420359133	Aug 19, 2021 8:45:59 PM	980.0868	
1629421355720	Aug 19, 2021 9:02:35 PM	980.2931	
1629422335054	Aug 19, 2021 9:18:55 PM	983.1455	
1629423322803	Aug 19, 2021 9:35:22 PM	983.40393	
1629424310506	Aug 19, 2021 9:51:50 PM	983.39325	
